price,title,distance,date-posted,location,description
2775,3 BED 3 BATH - PRIVATE ENSUITE BATHROOM FOR EVERY RESIDENT!,,07012021,Kingston,Starting at $925/Bedroom per Month Private ensuite bathroom for every resident! Designed for safety and social distance âœ“ Private entrances âœ“ Private bathrooms CURRENTLY UNDER CONSTRUCTION - LEASING ...
2455,MODERN 3-Bedroom Apartment Downtown - 5 Mins to Queen's May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! http://mackinnondev.ca/rental/122-sydenham/ 3-bedroom apartment on the third floor of a professionally-maintained brick complex in heart of downtown ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2625,Renovated from top to bottom! 3 Bedroom - Available May 1st,,07012021,Kingston,"It is a beautiful spacious unit in a great location. This property has all stainless steel appliances and an in-suite washer/dryer. All our properties have keyless entry, a full-time maintenance ..."
1950,"2 Bedroom, Available May 1st, 2021 - 10 MINS FROM QUEENS!",10,14012021,Kingston,"Just 10 minutes to Queen's University, and steps from Groceries and Downtown. The suite features two spacious bedrooms, laminate hardwood floors and other updated finishes. The updated Kitchen boasts ..."
2673,RENOVATED 3-Bedroom Apartment - 5 Mins to Queen's - May 2021,5,17012021,Kingston,"Completely renovated, 3-bedroom apartment is on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
650,HOUSE RENTAL-1 BEDROOM-FEMALE-ONE MIN WALK TO QUEENS UNIVERSITY,1,23012021,Kingston,"Located just a one minute walk from Queen's University's west campus (Faculty of Education & Faculty of English), 10 min bus ride to Queen's University's main campus, 5 min walk to the village ..."
650,HOUSE RENTAL-1 BEDROOM-FEMALE-ONE MIN WALK TO QUEENS UNIVERSITY,1,23012021,Kingston,"Located just a one minute walk from Queen's University's west campus (Faculty of Education & Faculty of English), 10 min bus ride to Queen's University's main campus, 5 min walk to the village ..."
650,"LRG 6Bdrm, 15 Min to Queens, Modern & Spacious $650/rm, Sep 1",15,23012021,Kingston,"Spacious 6 bed home. 15 min walk to Uni. Prime location! 1 KM to 99 University Ave (Main Campus) EXCEPTIONAL, LARGE HOME. 15 min walk to Uni. This high end home is close to everything! It is a short ..."
,Queen's Student Rentals! - Many Units Available on Our Website,,23012021,Kingston,"Attention Queen's students! Are you looking for a rental for May 2021? Look no further, Amber Peak Property Management Ltd. has many well-located housing options to explore. Please see our website ..."
1995,Gorgeous 2 bed 1 Bath Brand new Condo,,23012021,Kingston,"2 BEDROOM , 1 BATHROOM UNIT Water & Heat Included! 630 PRINCESS ST. - LUXURY STUDENT RENTALS ***ONLY 12 MIN. WALK TO QUEENS, AND THE HUB, ALSO ON A MAJOR BUS ROUTE*** AMAZING STUDENT HOUSING BUILDING ...                                                                                                                                                                                                                                                                                    Beautiful Condos centrally located"
585,1st Year SLC Students - Searching for Housing for May 1st?,,21012021,Kingston,"Great house available May 1st just 3 minutes from campus as current students graduating. Spacious common areas include kitchen with 2 fridges, stove, dishwasher and microwave, huge living room/dining ..."
1995,Modern 2 BEDROOM STUDENT RENTAL - HEAT & WATER INCLUDED,,21012021,Kingston,"2 BEDROOM , 1 BATHROOM UNIT Water & Heat Included! 630 PRINCESS ST. - LUXURY STUDENT RENTALS ***ONLY 12 MIN. WALK TO QUEENS, AND THE HUB, ALSO ON A MAJOR BUS ROUTE*** AMAZING STUDENT HOUSING BUILDING ..."
,Wanted:                            3 bedroom apt/house,,21012021,Kingston,"Hello, we are a group of three students currently in our third year at Queen's University. We are looking for a 3 bedroom house or apartment to rent beginning May 1, 2021. If you have any properties ..."
1000,Wanted:                            3 Queens 2nd years looking for rental near Campus,,21012021,Kingston,"Ideal really close to Queens campus. 3 serious and responsible 2nd year students looking for accommodations. Wish list; furnished, September 1, close to campus & ARC laundry on site, Max $1000 each ..."
300,5 Bedroom 2 Bathroom Student Only House,,21012021,Kingston,5 bedrooms with 2 Bathrooms. Comes with a large kitchen and living room with included laundry. We are a co-ed house with 2 male housemates and 1 female. One of us is working while the others are ...
590,University Student Housing,,20012021,Kingston,"Welcome to Kingston, Canada! These are fully furnished rooms with dresser, bed plus bedding, cookware, dishes, silverware, internet and free use of washer and dryer. Ready rental with no need to buy ..."
,SLC 1st Year Students - Looking for Housing for May 1st?,,20012021,Kingston,"We have two nice houses 3 minutes from campus available May 1st one with 6/7 bedrooms and the other with 4 bedrooms. Both houses have spacious common areas, good sized bedrooms, laundry, 2-3 ..."
510,510$/month 650m from St. Lawrence College & 3.2km from Queens U,,18012021,Kingston,"4 bedroom/ 1 bathroom basements unit, we are looking for 1 more person to fill the 4th room. The unit is fully furnished with dryer, washing machine, dishwasher & etc. except for the bedroom, The ..."
874,3 Bed 1 Bath FURNISHED Student Rental near Campus!,,18012021,Kingston,"3 Bed 1 Bath FURNISHED Apartments starting at $874/bedroom! 326 Alfred St or 1 Mack St, Foundry Mack Housing Complex 12-month lease from May 2020 to April 2021 Includes: 3 Spacious Bedrooms 1 Full ...                                                                                                                                                                                                                                                                                    Forge your Future with Us!"
2355,TOP FLOOR 3-Bedroom Apartment - New Build - 8 mins to Queen's,8,17012021,Kingston,"3D virtual tour available â€“ contact for details! http://mackinnondev.ca/rental/134-colborne/ This 3-bedroom apartment is on the top floor of a newly constructed triplex in a safe and quiet ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2455,~ NEW 3-BEDROOM APARTMENT ~ 5 Mins to Queen's ~ May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! 3-bedroom apartment on the third floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2455,MODERN 3-Bedroom Apartment Downtown - 5 Mins to Queen's May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! http://mackinnondev.ca/rental/122-sydenham/ 3-bedroom apartment on the third floor of a professionally-maintained brick complex in heart of downtown ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
1405,GROUND FLOOR 1-BEDROOM with Private Entrance - 5 Mins to Queen's,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! This 1-bedroom apartment on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
1300,~~ HUGE TOP FLOOR 1-BEDROOM ~ 5 Mins to Queen's ~ May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! This huge 1-bedroom apartment is located on the top floor of a completely renovated downtown triplex, across the street from Hotel Dieu Hospital. A ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2673,RENOVATED 3-Bedroom Apartment - 5 Mins to Queen's - May 2021,5,17012021,Kingston,"Completely renovated, 3-bedroom apartment is on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2850,3-BEDROOM APARTMENT ~ 1 Minute to Queen's ~ Utils Incl,1,17012021,Kingston,"3D virtual tour available â€“ contact for details! 3-bedroom apartment on the second floor of a well-maintained duplex in a safe and quiet neighbourhood. Located a very short 1-minute walk to Queenâ€™s ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2400,"4-Bdr. STUDENT HOUSING, University/Princess Streets",,17012021,Kingston,"VIDEO WALK-THRU NOW AVAILABLE = MODERN, Energy-efficiencies, Code Compliant, spacious, equal sized bedroom, low cost utilities, security entrance, 8-min. walk to main campus, 5 min. to Metro, UPS, ..."
4125,MASSIVE 5-BEDROOM HOUSE ~ Utilities Included ~ 5 Mins to Queen's,5,16012021,Kingston,"3D virtual tour available â€“ contact for details! This huge 5-bedroom apartment is located on the second and third floors of a historic, downtown duplex. A nice 5-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
1950,"2 Bedroom, Available May 1st, 2021 - 10 MINS FROM QUEENS!",10,14012021,Kingston,"Just 10 minutes to Queen's University, and steps from Groceries and Downtown. The suite features two spacious bedrooms, laminate hardwood floors and other updated finishes. The updated Kitchen boasts ..."
,"3 Bedroom Apartment for Rent, All Inclusive, Near Hotel Dieu",,14012021,Kingston,"Three Bedroom Apartment, $795 per bedroom/month for a total of $2,385/month. Recently upgraded historic gem right downtown, access to all bus routes within one block. Prime for Queen's Med Students. ..."
750,Wanted:                            Looking for 4 bedroom house near Queen's university,,13012021,Kingston,"We are a group of 4 girls (3 in arts, 1 in kinesiology) going into second year that are looking for a house to rent for the next school year!"
685,"PRIVATE ROOM â€“ Inclusive, Furnished, Quiet",,12012021,Kingston,"* please read the entire ad **If this ad is posted, its available AVAILABLE - PRIVATE ROOM - $685 inclusive - Inclusive (wi-fi, heat, water, electricity, furnished, lawn/snow care) - Upper-level, ..."
750,Room for rent,,10012021,Kingston,"Room for rent, amenities included. High speed internet. 4 bedroom house (not student housing but open to students) semi private bathroom. We have a cat a large backyard and patio. Lots of storage ..."
650,One room with a living room for rent,,07012021,Kingston,"One room with a living room on the top floor of the house is available for rent. Term can be flexible for long or short. Simply furnished with a double bed, a desk and a chair as well as coffee ..."
925,"Brand New 6 Bedroom, 6 Bathroom - LEASING FOR SEPTEMBER 2021",,07012021,Kingston,LEASING FOR SEPTEMBER 2021 Starting at $925/bedroom per month Private ensuite bathroom for every resident! All units have 3 bedrooms and 3 private en-suite bathrooms or if you have a group of 6 you ...
1950,10 Mins from Queens! 2 Bedroom - Available May 1st,10,07012021,Kingston,"Just 10 minutes to Queen's University, and steps from Groceries and Downtown. The suite features two spacious bedrooms, laminate hardwood floors and other updated finishes. The updated Kitchen boasts ..."
2775,3 BED 3 BATH - PRIVATE ENSUITE BATHROOM FOR EVERY RESIDENT!,,07012021,Kingston,Starting at $925/Bedroom per Month Private ensuite bathroom for every resident! Designed for safety and social distance âœ“ Private entrances âœ“ Private bathrooms CURRENTLY UNDER CONSTRUCTION - LEASING ...
2625,Renovated from top to bottom! 3 Bedroom - Available May 1st,,07012021,Kingston,"It is a beautiful spacious unit in a great location. This property has all stainless steel appliances and an in-suite washer/dryer. All our properties have keyless entry, a full-time maintenance ..."
650,Wanted:                            WANTED: 4 Bedroom House Close to Queen's Main Campus,,07012021,Kingston,"We are a group of 4 girls looking for a 4 bedroom house for May 1, 2021 - April 30 2022. We want to be South of Princess street and are looking to spend no more than $650/month. We also have a kitten ..."
550,College/ University room for rent $550,,05012021,Kingston,$550 Utility and parking Very close to downtown. 15 - 20 minute walk from Queens 1 Kitchen one bathroom.
560,University/College Student 3 Rooms For Rent $560,,05012021,Kingston,One room $560 3 Rooms in one apartment Utility and parking Very close to downtown. 15 - 20 minute walk from Queens University 1 Kitchen one bathroom.
,Queen's Student Rentals! - Many Units Available on Our Website,,23012021,Kingston,"Attention Queen's students! Are you looking for a rental for May 2021? Look no further, Amber Peak Property Management Ltd. has many well-located housing options to explore. Please see our website ..."
1405,GROUND FLOOR 1-BEDROOM with Private Entrance - 5 Mins to Queen's,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! This 1-bedroom apartment on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2625,Renovated from top to bottom! 3 Bedroom - Available May 1st,,07012021,Kingston,"It is a beautiful spacious unit in a great location. This property has all stainless steel appliances and an in-suite washer/dryer. All our properties have keyless entry, a full-time maintenance ..."
1950,"2 Bedroom, Available May 1st, 2021 - 10 MINS FROM QUEENS!",10,14012021,Kingston,"Just 10 minutes to Queen's University, and steps from Groceries and Downtown. The suite features two spacious bedrooms, laminate hardwood floors and other updated finishes. The updated Kitchen boasts ..."
2673,RENOVATED 3-Bedroom Apartment - 5 Mins to Queen's - May 2021,5,17012021,Kingston,"Completely renovated, 3-bedroom apartment is on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
1800,Queen's 4 bedroom house rental- May 2021 to May 2022,,03012021,Kingston,"4 bedroom student house located at 624B Johnson Street. The rent is $1,800.00 hydro and utilities are not included."
3600,6 Bedroom House near SLC and Queen's West Campus,,03012021,Kingston,6 bedroom unfurnished house located at 20 Foster Street. 3 minutes from SLC and 10 minute walk from Queenâ€™s west campus; donâ€™t miss out on this great location! Only a short bus side to Queenâ€™s main ...
2750,Attention Students!!! Calderwood area.,,30122020,Kingston,"5 bedroom, 2 full bath house coming available May 1/21. 56 Woodstone Cres. Located steps from SLC and a 5 min walk to West Campus. $2750/m all inclusive (550/person). On site laundry. Dishwasher ..."
750,Wanted:                            4 bedroom student rental,,27122020,Kingston,Hi! We are 4 girls looking for a 4 or 5-bed student rental near Queen's University (max 15-minute walk). Please message us if you have anything available for a lease beginning in May 2021. Thank you!
,"Waterview, 5 min walk to campus/KGH",5,21122020,Kingston,"Shared housing with female med/grad students. 5 min. walk to KGH/Queens with a beautiful water front view. Large bedroom w/locks, 2.5 bath, laundry on site, shared utilities. Reduced rent for ..."
1200,Ideal 1 Bedroom Student House in the Heart of Queen's Campus,,17122020,Kingston,"Available January-May (possibly longer, it me up for details). Ideal location at the heart of Queen's - 2 minute walk to Metro - 2 minute walk to the Hub (Brass Pub, Ale House & Canteen, Stages Night ..."
2400,"4 Bdr STUDENT HOUSING, LOCATION, LOCATION",,15122020,Kingston,"2 different layouts, Modern, Energy-efficient, spacious, large same sized bedrooms, very low utility costs, 8 min. walk to main campus, 5 min to Metro, Downtown, 2 min. to Shoppers, Beer Store are ..."
650,Beautiful Housing for Queen's Students,,13122020,Kingston,1 of 5 bright and clean bedrooms available in a beautifully appointed student house. 10 minute walk to Queen's campus and 1 minute walk to bus stop. $650 plus shared utilities and WiFi. 2 full ...
30,Glass Top Coffee Table,,12122020,Kingston,Perfect for student housing- In used condition.
550,"Two Gorgeous, affordable, all inclusive student rentals",,08122020,Kingston,"Gorgeous, affordable ($550.00 +) newly 2019 renovated smoke free, student rental in the upscale Cataraqui Golf course neighbourhood. Most rooms are fully furnished and quite large, with an abundance ..."
,Wanted:                            6 bedroom house,,04122020,Kingston,"Hello, we are 6 art/sci students going into our second year at Queen's University and are in need of a place to lease for the next year. We are looking for a house with a maximum budget of $4,200 a ..."
550,3 room Sublet - Student Housing for Winter Term near Queen's,,03122020,Kingston,"Hey y'all! We're 2 second years at Queen's University looking to sublet our rooms to students for the winter semester (Jan 1st -April 30th). Our unit has three bathrooms, two floors, and each floor ..."
5100,Fully-Furnished: 6-Bed / 2-Bath unit on University Ave,,01122020,Kingston,6-bedroom 2-bathroom home available on University between Brock and Princess. Fully-Furnished! $850/bedroom/month. Available for May 1st. IF INTERESTED fill out an application here: ...
400,Room sublets,,30112020,Kingston,There are some room sublets becoming available in an old Victorian semi-detached home located between Queen's and the Kingston center. It's on a central bus route and is a 5 minute walk to downtown. ...
590,ASAP - Looking for Sublet for Jan 1st utilities included,,29112020,Kingston,"I'm looking for someone to sublet my room or take over my lease for January 1st, 2021 to April 30th with the option to stay longer. You'd be living with another person who's super easy to live with, ..."
1900,WANTED: Apartment/house near Queen's University,,29112020,Kingston,"Hello, we are two female students from the Faculty of Health Sciences at Queen's University looking for a 2 bedroom apartment/house for $1,800-$2,000 (max) About us: -A health sciences student ..."
600,Single Room for rent all inclusive 600.00,,28112020,Kingston,"One second floor bedroom for Rent 600 , includes full access to onsite laundry, kitchen and bathroom. We're looking for males students who need housing for the school year. First and Last is required ..."
570,Looking for  2 Student/Young Professional Roommates,,24112020,Kingston,Looking for two students/young professionals roommates to live in the house (Male only) Utilities included Wi-Fi included Parking out front available for small car Lease terms are negotiable Fully ...
550,"STUDENT RENTAL, ONE BEDROOM AVAIL STEPS TO PEN CENTRE",,24112020,Kingston,"LOOKING FOR MALE TENANT , ONE BEDROOM IN A THREE BEDROOM UNIT AVAILABLE NOW, steps to MINUTE WALK TO PEN CENTRE BEST STUDENT RENTAL housing for Brock University / Niagara College students! ..."
